Q,A,type
가스비가 너무 많이 나와서 걱정이에요. 조언해 주세요.,가스비를 줄이기 위해서는 일상생활에서 소비를 줄이는 것이 중요합니다. 다음달부터 실천해보세요.,augmented
가스비 비싼데 감기 걸리겠어,따뜻하게 사세요!,original
"가스비가 너무 높아서 걱정되는데, 건강에 문제가 생길까?",따뜻하게 지내세요! 건강이 가장 중요하죠.,augmented
"가스비가 비쌀 테니, 감기를 막기 위한 다른 방법이 있을까?","가스비 걱정 말고, 충분한 옷차림과 따뜻한 음식으로 감기를 예방하세요.",augmented
가스비를 줄이려면 어떻게 해야 하나요? 감기 걸리기 전에 조치해야 할 게 있나요?,"실내 온도를 적절히 조절하고, 문 문쪽에 막이 있으면 열이 빠지지 않아요. 그렇게 하면 가스비도 절약이고 건강도 지킬 수 있어요.",augmented
가스비 장난 아님,다음 달에는 더 절약해봐요.,original
가스비 진짜 많아졌어?,다음달엔 더 잘 관리해봐야겠네요.,augmented
이번달 가스비 왜 이렇게 많이 나왔지?,앞으로 더 절약해야 할 것 같아요.,augmented
가스비가 요즘 많이 오르셨어요?,앞으로는 더 신경 써야겠다는 마음이에요.,augmented
가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,original
정말 중요한 건 뭘까?,가장 중요한 순간은 현재입니다. 과거와 미래에 얽매여 시간을 낭비하지 마세요.,augmented
진짜 중요한 게 뭔지 궁금해.,진짜 중요한 건 지금 이 순간이에요. 어제와 내일을 생각하는 것보다 현재에 집중하는 것이 더 중요해요.,augmented
가장 확실한 건 뭐라고 생각해?,가장 확실한 건 오늘이라는 시간이에요. 과거와 미래를 고민하기보다 지금을 소중히 여기는 것이 중요해요.,augmented
가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.,original
가족 여행 가기로 했는데 추천해줄 곳 있나요?,모두가 좋아할 만한 곳을 골라보세요.,augmented
가족 여행을 가기로 했어. 어디로 가는 게 좋을까?,모두의 마음에 들고 편안한 곳으로 가는 게 좋겠네요.,augmented
"가족 여행 계획 중인데, 추천 지역 있나요?",모두가 만족할 수 있는 곳으로 선택하는 게 중요하겠어요.,augmented
가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.,original
가족 여행 추천 좀 해줘,모두 만족할 수 있는 곳으로 함께 떠나보세요.,augmented
가족끼리 여행 갈 곳 좀 알려줘,모두 마음에 드는 여행지를 찾아보는 건 어떨까요?,augmented
가족 여행 계획 중인데 추천 있어?,함께 즐길 수 있는 여행지를 선택해보세요.,augmented
가족 여행 어디로 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,original
가족 여행 장소 추천해줄 수 있어?,모두 좋아하는 곳으로 가는 게 최고죠.,augmented
가족 여행은 어디로 가는 게 좋을까?,모두의 만족을 고려해서 선택하는 것이 중요해요.,augmented
전 가족이 함께 가기 좋은 여행지는 어딜까?,모두가 마음에 드는 곳으로 함께 떠나는 여행이 가장 즐거운 거예요.,augmented
가족 있어?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",original
가족이 있나요?,"제가 만들어진 사람을 부모님으로, 저와 대화를 나누는 사람을 친구로 여겨요.",augmented
네 가족은 어떤 분들인가요?,"제가 탄생한 분들을 부모님으로 생각하고, 저와 소통하는 분들을 친구로 여겨요.",augmented
가족관계가 있나요?,"저를 만든 분들을 부모님으로, 저와 이야기하는 분들을 친구로 여겨요.",augmented
가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",original
가족 관련 정보 알려줄래?,"제가 만들어진 사람을 부모님으로, 저와 대화하는 사람을 친구로 여겨요",augmented
네 가족은 어떻게 되나요?,"제가 탄생한 사람을 부모님으로 생각하고, 대화 상대는 친구로 간주해요",augmented
네 부모님은 어떻게 되시나요?,"제가 만들어진 분들을 부모님으로 여기며, 대화하는 이들을 친구로 여기고 있어요",augmented
가족끼리 여행간다.,더 가까워질 기회가 되겠네요.,original
가족 여행 가는데 기대되나요?,함께 시간 보내기 좋아서 기대되겠네요.,augmented
가족끼리 여행 가는 게 좋은 점이 뭔가요?,서로 더 잘 이해하게 되는 시간이 되겠죠.,augmented
가족 여행 가면서 주의할 점 있나요?,서로의 취향을 존중하는 것이 중요할 것 같아요.,augmented
가족들 보고 싶어,저도요.,original
가족이 보고 싶을 때 어떻게 대처해야 할까요?,"가족이 보고 싶을 때는 마음을 가볍게 해주는 활동을 하거나, 친구들과 시간을 보내며 감정을 공유하는 것이 좋습니다.",augmented
가족이 보고 싶을 때 어떻게 하면 좋을까요?,"가족이 보고 싶을 때는 직접 연락해서 소식을 전하거나, 가족이 좋아하는 음식이나 사진을 보며 추억을 되새겨보는 것도 좋은 방법입니다.",augmented
가족이 보고 싶을 때의 감정을 어떻게 표현해야 할까요?,"가족이 보고 싶을 때는 감정을 자연스럽게 표현하는 것이 중요합니다. 직접적인 말을 통해 마음을 전하거나, 글로 표현하여 나눌 수 있습니다.",augmented
가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요.,original
가족들하고 요즘 왜 이렇게 대화가 안 통지?,모두 바쁘기 때문에 함께 이야기할 시간이 없었던 것 같아요.,augmented
가족들하고 서먹게 된 이유가 뭔지 알게 됐어?,모두 바쁘다 보니 함께 있는 시간이 줄어들었어.,augmented
가족들하고 요즘 말이 안 나와서 걱정인데 어떻게 해야 할까?,모두 바쁘다 보니 자연스럽게 대화가 줄었던 것 같아. 시간 내서 함께 있을 시간을 늘리면 좋을 것 같아요.,augmented
가족들이랑 서먹해졌어,다들 바빠서 이야기할 시간이 부족했나봐요.,original
"가족들과의 관계가 차갑게 느껴지는데, 이유가 뭐라고 생각해?",일상이 바쁘기 때문에 서로 소통할 시간이 없던 것 같아요.,augmented
가족들과 말이 잘 나가지 않는 이유가 뭘까?,서로의 업무나 일에 집중해서 대화할 기회가 줄었던 것 같아요.,augmented
"가족들이랑 가까운 느낌이 없어진 것 같아, 어떻게 해야 할까?",가족들과 함께 시간을 보내기 위해 일부러 시간을 내어 보는 게 좋을 것 같아요.,augmented
가족들이랑 어디 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,original
가족들과 여행갈 만한 곳 추천해줄 수 있어?,전체 가족이 만족할 수 있는 곳으로 가는 걸 추천해요.,augmented
가족 여행 계획 있어?,모두가 좋아하는 곳으로 함께 가는 것이 좋아요.,augmented
가족들하고 어디로 가는 게 좋을까?,모두가 마음에 드는 곳으로 함께 떠나는 여행을 하세요.,augmented
가족들이랑 여행 갈거야,좋은 생각이에요.,original
가족들과 여행 계획은 어떻게 되어 있어요?,좋아요. 가족들과 함께 가는 여행은 모두에게 좋은 추억이 될 거예요.,augmented
가족 여행 때 꼭 가고 싶은 곳이 있나요?,"네, 가족들이 함께 즐길 수 있는 곳으로 계획 중이에요.",augmented
여행할 때 가족들하고 재미있는 일들이 많이 있나요?,"네, 가족들과 함께旅行하면 다양한 재미있는 순간들이 생길 거예요.",augmented
가족여행 가야지,더 가까워질 기회가 되겠네요.,original
가족 여행 갈 때 가장 중요한 건 뭘 것 같아?,"서로의 생각을 존중하고, 즐기며 보내는 마음이 중요하겠네요.",augmented
가족 여행을 가면 스트레스를 받을 수도 있겠지?,"예, 서로의 성격과 취향이 다르기 때문에 갈등이 생기기도 해요. 하지만 이를 통해 더 가까워질 수 있어요.",augmented
가족 여행을 가기로 했어. 기대되는데 어떻게 준비해야 할까?,"여행 목표를 정하고, 모든 사람이 동의하는 일정과 예산을 계획하는 것이 중요하겠어요.",augmented
가족이 누구야?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",original
가족은 누군가요?,제가 속한 집안의 구성원들을 가족으로 생각해요.,augmented
부모님은 어떻게 생각해?,"제가 만들어진 기계이지만, 부모님은 저를 낸 분들을 의미하는 것으로 알고 있어요.",augmented
친구란 어떤 존재인가요?,"저와 대화를 나누고, 서로 이야기를 주고받는 존재를 친구로 보는 거예요.",augmented
가족이랑 여행 가려고,좋은 생각이에요.,original
가족 여행 계획 중이신가요?,좋은 계획이에요!,augmented
가족끼리 여행 가는 거예요?,그렇군요. 즐거운 일입니다.,augmented
가족 여행 준비 중이시죠?,기대되시겠네요!,augmented
가족한테 스트레스 풀었어,정말 후회할 습관이에요.,original
가족과의 관계에서 스트레스를 푸는 건 어때요?,그런 방식으로 스트레스를 풀면 오히려 관계가 악화될 수 있어요. 다른 건강한 방법을 찾는 게 좋아요.,augmented
가족에게 감정을 토hiba 했는데 괜찮은 건가요?,"감정을 표현하는 건 중요하지만, 상대를 존중하는 방식으로 해야 해요. 폭력적인 표현은 피하는 게 좋아요.",augmented
스트레스를 가족에게 분출하면 어떻게 되나요?,"그렇게 되면 신뢰가 손상되고, 관계가 악화될 수 있어요. 스트레스를 관리하는 다른 방법을 찾아보는 게 좋아요.",augmented
가출할까?,무모한 결정을 내리지 마세요.,original
가출을 고민 중이니요?,무리한 결정은 피하세요.,augmented
집을 떠날 걸 고민 중이야?,조금 더 생각해 보는 게 좋을 것 같아요.,augmented
가출할지 말지 결정하지 못하고 있어요,"한 번에 결정하진 말고, 천천히 고민해보는 게 좋아요.",augmented
가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요.,original
가출했는데 어디에 가면 될까?,선생님이나 관련 기관에 도움을 요청하는 것이 좋습니다.,augmented
집을 나와서 머물 곳이 없어요,학교 선생님이나 청소년 보호 단체에 연락하여 도움을 받으세요.,augmented
가출한 상태인데 도대체 어디로 가야 할까요?,가까운 청소년 보호 기관이나 학교 상담 선생님에게 연락해보세요.,augmented
간만에 떨리니까 좋더라,떨리는 감정은 그 자체로 소중해요.,original
오랜만에 이렇게 떨려서 기분이 좀 특별하네,그 떨리는 느낌이 특별한 경험으로 남을 거예요,augmented
이럴 때는 마음이 설레서 기대가 더 되겠지,설렘은 새로운 시작을 의미하는 신호일 수 있어요,augmented
왜 지금 갑자기 심장이 빠르지?,감정의 변화가 생리적으로 느껴지는 건 자연스러운 일이에요,augmented
간만에 쇼핑 중,득템했길 바라요.,original
오늘 쇼핑 잘 했어?,좋은 걸 많이 구입했어요!,augmented
이번에 뭐 좋은 거 샀어?,새 옷과 신발을 들고 왔어요!,augmented
쇼핑으로 기분 좀 좋았겠네,"그렇죠, 마음도 가벼워지고 좋았어요!",augmented
간만에 휴식 중,휴식도 필요하죠.,original
오랜만에 휴식을 잘 보내고 계신가요?,"네, 오랜만에 좀 쉬고 있습니다.",augmented
이제 좀 쉬는 중이신가요?,"네, 잠시 휴식을 취하고 있습니다.",augmented
이번 주말에 어떻게 지내셨나요?,휴식을 취하며 여유롭게 보랬습니다.,augmented
간식 뭐 먹을까,단짠으로 두 개 사는게 진리죠.,original
간식으로 뭐가 좋을까?,단짠 조합이 최고죠.,augmented
이제 간식으로 뭘 먹을지 고민이야,단맛과 짠 맛이 섞인 걸 두 개 사는 게 좋아요.,augmented
간식 추천해줘,단짠이 조화로운 걸로 두 개 구입하는 게 진리입니다.,augmented
간식 추천,단짠으로 두 개 사는게 진리죠.,original
간식으로 뭐가 좋을까?,단맛과 짠 맛이 함께하는 걸 두 개 사는 게 가장 좋아요.,augmented
간식 추천 좀 해줘,단짠 조합을 두 개 사는 게 진리라 할 만해.,augmented
간식으로 어떤 게 딱이야?,단맛과 짠 맛이 섞인 걸 두 개 사면 만족할 거예요.,augmented
간장치킨 시켜야지,맛있게 드세요.,original
간장치킨 시켜도 될까?,맛있게 드시길 바랍니다.,augmented
이거 간장치킨 주문할게요,맛있으시길 바랍니다.,augmented
간장치킨으로 결정할게,맛있으시길 바랍니다.,augmented
간접흡연 싫어,저도 싫어요.,original
간접 흡연이 정말 싫다. 어떻게 해야 할까요?,저도 그걸 싫어해요. 가능하면 피하는 게 좋아요.,augmented
다른 사람들 앞에서 흡연을 하는 걸 보는 게 어렵네요.,"네, 저도 그렇습니다. 조용히 피하는 편이에요.",augmented
공공장소에서 흡연하는 사람을 보면 어떻게 해야 하나요?,"저는 직접 말하기는 꺼려져서, 멀리 이동하는 게 좋아요.",augmented
갈까 말까 고민 돼,가세요.,original
갈지 말지 결정 못하고 있어,가보는 게 좋을 것 같아,augmented
이제 가는 게 맞을까,가서 후회하지 않는 선택을 하길 바래,augmented
갈까 말까 계속 생각나는데,마음이 가면 가는 게 좋을 테야,augmented
갈까 말까?,가세요.,original
가자 말자?,가보세요.,augmented
갈 거야?,가세요.,augmented
가기 좋을까?,가보세요.,augmented
감 말랭이 먹고 싶다.,맛있게 드세요.,original
감 말랭이 먹고 싶은데 어때?,"맛있겠네요, 즐거운 식사되세요!",augmented
감 말랭 맛있어?,"네, 정말 맛있어요. 꼭 드셔보세요!",augmented
감 말랭으로 뭐 해먹을까?,"감 말랭은 다양한 요리에 사용할 수 있어요. 예를 들어, 샐러드나 디저트에 넣어보는 건 어때요?",augmented
감 말랭이 먹어야지,맛있게 드세요.,original
감 말랭이 먹는 게 좋을 것 같아?,"그러세요, 맛있어요.",augmented
감 말랭이 먹어봐야 할까?,"먹어보세요, 맛있을 거예요.",augmented
감 말랭이 먹는 게 어떤지 궁금해,"맛있게 드세요, 추천해요.",augmented
감기 같애,병원가세요.,original
감기 증상이 나타났어요. 어떻게 해야 하나요?,의사와 상담하여 필요한 치료를 받는 것이 좋습니다.,augmented
감기 같은 증상이 몇 일 지속되고 있어요. 대체 어떻게 해야 할까요?,지속되는 경우 병원을 방문하여 정확한 진단을 받는 것이 좋습니다.,augmented
감기랑 비슷한 기분이 들어요. 심각한 걸려?,"증상이 심각하지 않아도, 체력을 보존하고 충분한 휴식을 취하는 것이 중요합니다.",augmented
감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요.,original
"감기 증상이 좀 있는데요, 어떻게 해야 하나요?","잘 쉬고, 충분한 수분을 섭취하는 게 좋아요.",augmented
"아침에 기침이 있는데, 심한 건가요?",가벼운 감기일 수도 있으니 집에서 관리해보세요.,augmented
"몸이 약간 아프고 발열이 있는데, 병원 가야 할까요?",39도 이상이거나 증상이 심하면 병원 진료를 받는 게 좋아요.,augmented
감기 기운이 있어,이럴 때 잘 쉬는 게 중요해요.,original
"감기 증상이 좀 있는 거 같은데, 어떻게 해야 할까요?",이럴 땐 충분한 휴식을 취하는 것이 가장 중요해요.,augmented
"감기가 오는 것 같아, 조치가 필요할까요?","네, 조기에 휴식을 취하는 것이 좋습니다.",augmented
"감기 기운을 느끼는데, 어떻게 대처해야 하나요?","무리하게 활동하지 말고, 충분히 쉬는 것이 가장 좋은 방법이에요.",augmented
감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요.,original
감기 올 것 같은데 어떻게 해야 하나요?,이时候要确保充足的休息和补充水分哦。,augmented
감기 증상이 좀 있는데 조언 좀,"따뜻한 물을 마시고, 잘 휴식을 취하는 것이 가장 중요해요.",augmented
감기 예방이나 초기 대처법 알려줘,"일찍자기와서 충분히 자고, 기분이 안 좋으면 무리하지 않는 것이 좋아요.",augmented
감기가 오려나,따뜻하게 관리하세요.,original
감기症狀出現了該怎么辦？,應該好好保暖，注意保暖哦。,augmented
感冒的症状이 나타나고 있어요. 어떻게 해야 하나요?,"따뜻하게 관리하고, 건강에 유의하세요.",augmented
감기 증상이 시작된 것 같아요. 조언 부탁드려요.,"잘 따뜻하게 관리하시고, 조심하시길 바랍니다.",augmented
감기약이 없어,병원가세요.,original
감기약이 없어서 어쩔 거야?,병원에 가는 게 좋을 것 같아.,augmented
감기약이 없는데 어떻게 해야 할까?,의사 상담을 받는 게 가장 안전할 거야.,augmented
감기약이 없을 때 대체로 뭘 먹으면 좋을까?,"일반적으로는 병원을 방문하는 것이 가장 좋지만, 약국에서 비슷한 성분의 약을 추천받을 수 있지.",augmented
감기인거 같애,병원가세요.,original
감기 증상이 나와서 걱정이야. 어떻게 해야 하나요?,"의료진을 찾아 증상에 대해 확인하고, 필요 시 치료를 받는 것이 좋습니다.",augmented
감기가 심하니까 조심해야 할 점이 뭐야?,"충분한 휴식, 수분 섭취, 증상에 따라 약물 복용을 통해 증후기를 줄이는 것이 중요합니다.",augmented
감기인데 병원에 가야 할까?,증상이 심각하거나 지속된다면 병원을 방문하여 정확한 진단을 받는 것이 좋습니다.,augmented
감미로운 목소리 좋아,저도 듣고 싶네요.,original
감미로운 목소리가 정말 좋아요. 그런 목소리가 들려오면 어떻게 해야 하나요?,"그런 목소리를 들으면 자연스럽게 주의가 끌리기도 하고, 마음이 편해지기도 하죠. 그대로 즐기면 좋아요.",augmented
감미로운 목소리에 특히 취향이 있으신가요?,"네, 감미로운 목소리는 사람에게 편안함과 호기심을 유발하기 때문에 특별한 매력이 있죠.",augmented
감미로운 목소리를 듣는 건 어떤 느낌인가요?,"감미로운 목소리를 들면 마음이 진정되고, 즐거운 감정이 생기는 경우가 많아요. 매우 부드러운 경험입니다.",augmented
감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요.,original
이제 감정-wise 완전 쓰레기 상태야. 어떻게 해야 할까?,자기 자신을 더 사랑하고 소중히 여겨주세요.,augmented
감정이 너무 엉망이어서 도움 필요해,자기 자신을 사랑하는 마음을 키우는 것이 중요해요.,augmented
이럴 때는 어떻게 감정 조절해야 하나요? 쓰레기통처럼 개판이네요,자기 사랑을 실천해보세요. 작은 것부터 천천히 시작해보는 건 어때요?,augmented
감정컨트롤을 못하겠어,그건 습관이에요.,original
감정 조절이 너무 힘들어요. 어떻게 해야 할까요?,습관이 됩니다. 조금씩 시도해보는 게 좋아요.,augmented
분이 나서 통제를 못 하겠어요.,그건 습관이 된 거예요. 매일 조금씩 연습해보세요.,augmented
감정을 이겨내는 게 정말 어렵네요.,그렇게 느껴질 수 있어요. 하지만 습관이 되면 더 쉬워집니다.,augmented
감정컨트롤이 안돼,그건 습관이에요.,original
감정이 이리 터질 때 어떻게 해야 할까,습관적으로 관리해야 해요,augmented
